"NUMBER","PROTO","PRNUM","MEANING","RUSMEAN","PHN","AKO","REFERENCE"
 802,"*puki", 203,"idiotic person, stupid character","глупец, дурак","pugi","","KED 810."
 803,"*pu▒hЇ█╤",1622,"owl; kite","сова; коршун","puЇ╤i","pu▒hЇ█╤, pu▒huЇ█╤, pu▒huЇ█╤'i▒","Nam 266, KED 817."
 804,"*p╞i-", 200,"empty","пустой, свободный","p┼-","p╞i-","Liu 410, KED 850."
 805,"*puk ( ┌ -╞-)", 184,"heaping of earth","куча земли","puk","","KED 823."
 806,"*p╞r-",1864,"in pieces, in crumbs","на куски, в крошку","purЇ 1","p╞rЇ-","Liu 404, KED 812."
 807,"*p╞█rЇ▒-", 208,"to envy, be jealous","завидовать, ревновать","purЇp- (-w-)","p╞█rЇ▒-ha▀█-","Liu 404, KED 813."
 808,"*pha▀█-",1701,"to dig","копать","pha-","pha▀█-","Nam 461, KED 1729."
 809,"*pЇkh / *pak",1736,"1 very 2 vigorously","1 очень 2 сильно, крепко","phЇk 1, pak 2","phЇk","Liu 723, KED 710, 1743."
 810,"*phi▒",1644,"millet","просо","\Iphi\i","phi▒","Nam 465, KED 1771."
 811,"*pho▒",1621,"1 many, several, quantity 2 to pile up","1 много, несколько, количество 2 нагромождать","pho 1, pho-g▓-da 2","pho▒ (adv.) 1, pha▀█- 'do smth. repeatedly' , pho-kai- 2","Liu 720, 725, KED 1753."
 812,"*pukh ( ┌ -╞-)",1737,"warm (of weather)","теплый (о погоде)","phuk-ha-","","KED 1762."
 813,"*pu▒mh",1825,"1 breast, bosom 2 to carry in one's bosom","1 грудь, пазуха 2 нести за пазухой","phum 1, phum- 2","phum 1, phu▒m-, ph╞m- 2","Liu 726, 728, KED 1766."
 814,"*sata▀ri",2024,"stairs","лестница","sadari, sadak-tari","sata▀ri","Nam 282, KED 870."
 815,"*sa█ki▒-",1957,"1 to read characters, interpret 2 to know each other","1 читать знаки, переводить 2 знать друг друга, знакомиться","s▓gi- 1, sagwi- 2","sa█ki▒- 1, sa█ko▒i- 2","Nam 282, KED 868, 920."
 816,"*pa▀█iho▒-", 189,"to learn","учиться","p▓u-","pa▀█iho▒-","Nam 252, KED 749."
 817,"*sa▀▒i-",1886,"to leak, ooze","сочиться, протекать","s┤-","sa▀▒i-","Nam 296, KED 921."
 818,"*sa█k- / *sЇ█k-",1901,"1 to exude, effervesce, ferment 2 to rot, become spoiled 3 ferment, yeast","1 киснуть, бродить, выделяться (о поте, пузырьках из воды etc.) 2 гнить, портиться 3 фермент, закваска","sak- 1, s:Їk- 2, sЇgim 3","sa█k- 1, sЇ█k- 2, sЇ█ki▒m  3","Liu 435, 448, 450, KED 888, 940."
 819,"*sїr / *sa▀█r",2556,"year, age","год, возраст","\Isal;\i sїl 'beginning of the year'","sїr / sa▀r","Nam 290, 300, KED 896, 950."
 820,"*sa▒r",2162,"reed net; lattice, cross-bars","тростниковая сеть; решетка","\Isal\i","sa▒r","Liu 437, KED 895."
 821,"*sa▀r-",2117,"to fit loosely, be shaky","свободно вмещаться, быть шатким","salgapta (orph. sa▀l-ga▀pta)","","SKE 221."
 822,"*s░▀rb-",2120,"to speak, tell","говорить, сообщать","sarwe-","s░▀rp- (-w-)","Nam 292, KED 872."
 823,"*sam",1962,"placenta, caul","плацента, оболочка плода","sam","","KED 901."
 824,"*sa█m-",1979,"to take care, use caution","быть осторожным","samga-","sa█m-ka▒-","Nam 293, KED 901."
 825,"*sap-",1920,"long-haired dog","лохматая собака","sapsari, sapsal k┤","sapsa▀ri, sa█psa▒r-ka█hi▒","Liu 439, KED 906."
 826,"*sa█ri▒- / *sЇ█ri▒-",1925,"to coil, curl, wind","извиваться, загибаться","sari-, sЇri-","sa█ri▒-, sЇ█ri▒-","Liu 432, 449, KED 873, 936."
 827,"*sЇr-",1903,"to fit loosely, to treat lightly, handle carelessly","плохо подходить, небрежно выполнять","sЇl-dar╞-","","KED 951."
 828,"*sjЇn-",2075,"to be interesting, startling; boring","быть интересным, поразительным; скучным","sЇngЇpta (orth. sjЇn-)","","KED 943."
 829,"*sЇ█r╞█",1960,"each other, mutually","друг друга, взаимно","sЇro","sЇ█r╞█, sЇ█ru█, sЇ█ra▀█","Nam 299, KED 935."
 830,"*sip╞-",1975,"to wish, want","желать, хотеть","\Isip-\i [siph-], siph╞-","sip╞-","Nam 325, KED 1043, 1066."
 831,"*sirh-",1904,"to dislike, feel repugnance for; be unpleasant","не любить; быть неприятным","sil- [silh-]","","KED 1060."
 832,"*sЇ▒╤- / *sЇ▒n-",2077,"to be chilly","быть холодным, прохладным","si╤gЇ╤ si╤gЇ╤ ha-, sЇn╞r-ha-, san╞r-ha-","sЇ▒na▀█r-ha▀-, sa▒na▀r-ha▀-","Nam 282, 299, KED 869, 935, 1065."
 833,"*s╞▒r-",2137,"to vanish, fade","пропадать, исчезать","s╞l-","s╞▒r-","Nam 320, KED 1027."
 834,"*s╞╤'a",2125,"sorrel","щавель","s╞╤a","s╞╤'a","Liu 489, KED 1031."
 835,"*si█r'Ї▒i",1969,"a prop, canterbury, shelf","подставка, этажерка, полка","sirЇ╤","si█r'Ї▒i","Nam 327, KED 1036."
 836,"*s╞╢-",2022,"to baste","приметывать","si╢hi-","s╞s-","Nam 322, KED 1042."
 837,"*so█th",2043,"kettle","котел","\Isot\i [soth]","so█t, so█th","Nam 310, KED 994."
 838,"*su",2141,"pure, simple (pref.)","простой, чистый (преф.)","su-t- [su-s-]","su-","Liu 473, KED 1020."
 839,"*su█b-",2088,"to become hoarse","хрипнуть","sw┼-","su█i'u▒-","Liu 480, KED 1022."
 840,"*muri",1369,"halo, ring (round the sun or moon)","ореол, кольцо (вокруг солнца или луны)","muri","","KED 658."
 841,"*ta█'a▀█-",2292,"all, completely, exhaust","весь, полностью, исчерпывающий","\It░\i","ta█'a▀█-, ta'o-","Liu 195, KED 377."
 842,"*ta█hi█-",2339,"to slaughter animals","резать животных","","ta█hi█-","Liu 197."
 843,"*tahi-",2248,"to pour, irrigate","лить, орошать","t┤-","tahi-","Nam 133, KED 423."
 844,"*si█r╞▒m",2018,"worry, trouble","заботы, тревоги","sir╞m","si█r╞▒m","Liu 495, KED 1036."
 845,"*st░i-, *stЇ▒k",2158,"1 to solder, tinker; to make fire 2 rice cake","1 паять, лудить; разжигать 2 рисовая лепешка","t:▓u- 1, t:Їk 2","st░i- 1, stЇ▒k 2","Nam 147, 152, KED 432, 445."
 846,"*ta▀i- / ta▀▒rk",2352,"1 a bald head 2 cracks (on hands and feet, from cold)","1 лысая голова 2 трещины (на руках и ногах, от холода)","t▓-mЇri 1","ta▀▒rk 2","Liu 185, KED 426."
 847,"*ta▀r-",2224,"to pull","тянуть, растягивать","tari- (arch.)","ta▀ra▀i-","Nam 135, KED 383."
 848,"*sta▀▒r",1989,"girl, daughter","девочка, дочь","t:al","sta▀▒r","Nam 142, KED 401."
 849,"*ta█r-", 352,"to roast, burn","жарить, жечь","t░l- 'be hot, burned'","ta█r-hi▒-","Liu 200, KED 403."
 850,"*pta▒rki█",1689,"raspberry, strawberry","малина, земляника","t:algi","pta▒rki█","Nam 140, KED 402."
 851,"*ar-", 466,"bare, naked, stripped to essentials","голый, простой","al-","ar-","Liu 526, KED 1088."
 852,"*pta▀▒-n",1720,"other","другой","t:a-n","pta▀▒-n","Nam 138, KED 393."
 853,"*ta▀█d-",2439,"to run","бежать","\Itat-\i (-r-)","ta▀█t- (-r-)","Nam 139, KED 401."
 854,"*ta▀█╤-ka▀▒i-",2324,"to stretch, pull","тянуть, тащить","ta╤gi-","ta▀█╤ka▀▒i-","Nam 145, KED 414."
 855,"*ta▀█r'a▒i", 362,"wing (of a saddle)","крыло (седла)","tar▓","ta▀█r'a▒i","Nam 141, KED 382 (deriving the word from ta▀▒r- 'hang', which is dubious)."
 856,"*ta▀█ri▒-",2206,"1 to be together with 2 to be similar","1 быть вместе с 2 быть похожим","teri- 1, tam- 2 (orth. ta▀lm-)","ta▀█ri▒- 1","Nam 136, KED 408, 456."
 857,"*ptЇ▒i", 178,"raft","плот","\It:e\i","ptЇ▒i","Nam 153, KED 454."
 858,"*tЇ█p╞▒r-",2362,"to lead, take smn. with","вести, брать с собой","tЇbul-","tЇ█p╞▒r-","Nam 150, KED 443."
 859,"*tЇ█ph- / *tu█ph-",2347,"to cover","покрывать","tЇp- [tЇph-]","tЇ█ph-, tu█ph-, tu█p-","Nam 153, 168, KED 454."
 860,"*ptЇ█rЇ▒-",1753,"to drop, fall; finish","падать, валиться; кончаться","t:ЇrЇ-√i-","ptЇ█rЇ▒-ti▒-","Nam 151, KED 449."
 861,"*tЇt",2213,"trap","ловушка","tЇt [tЇ╢h, tЇs]","","KED 451, 454."
 862,"*t╞-",1587,"to move, change one's place","двигаться, менять место","t╞-","","SKE 264 (NKor.)."
 863,"*pt╞-",1844,"to follow a pattern, make like","следовать образцу, имитировать","t:╞-","pt╞-","Liu 247, KED 523."
 864,"*t╟d-",2398,"to fall, drop","падать, капать","t╞t- (-r-)","t╟t- (-r-)","Nam 173, Liu 251, KED 532."
 865,"*ta▀█bi-",2355,"to become","становиться","twe-","ta▀█wi█-, ta▀█'o█i-","Nam 136, 137, KED 497."
 866,"*tur-",2281,"barren","бесплодная, яловая","tul-, tol-","","KED 478."
 867,"*tor", 404,"wicked, base, wild","дикий, грубый","tol; tul- 'stupid; clumsy'","","KED 478, 509, 510."
 868,"*sto█╤",2189,"excrements","испражнения","t:o╤","sto█╤","Nam 161, KED 485."
 869,"*t╥b-",2389,"to help","помогать","t╥p- (-w-)","t╥p- (-w-)","Nam 160, KED 484."
 870,"*tu▒-",2330,"to put, place","класть, помещать","tu-","tu▒-","Nam 163, KED 502."
 871,"*tu█t╞▒ri▒-",2473,"to beat, hit","бить, ударять","tud╞ri-","tu█t╞▒ri▒-","Liu 237, KED 503."
 872,"*tuk",2255,"mound, dam","насыпь, дамба","tuk","tuk","Liu 241, KED 507."
 873,"*t░r",2210,"reed","тростник","t░l","t░r","Liu 198, KED 401."
 874,"*pot-",1877,"vulva","vulva","p╥√i, dial. pod▓╤i","","KED 794."
 875,"*uk╞r",1594,"to congregate, be numerous","собираться толпой, кишеть, быть в большом количестве","ug╞l-ug╞l ha-, ug╞l kЇri-, og╞l kЇri-","","KED 1236."
 876,"*m╞sk-",1330,"to bind","связывать","muk- [muk:-]","m╞sk-, m╞s-","Nam 232, KED 670."
 877,"*un-tu",1597,"height (of the side of shoes or bowls)","высота","undu","","KED 1244."
 878,"*o█ra▒n-",2489,"heavy rain","ливень","","o█ra▒n-pi▒","Liu 575."
 879,"*ЇrkЇmi",  29,"a coarse sieve","грубое сито","ЇlgЇmi","","SKE 53."
 880,"*kora╤", 965,"fetters, handcuffs","путы, оковы, наручники","kora╤","","KED 138."
 881,"*pur╞-", 146,"to soak, make wet","мочить","pur╞- (SKE 211), pulli-","","KED 836."
 882,"*u█-", 162,"well","колодец","umul","u█-m╞▒r","Nam 389, KED 1239 (-m╞r 'water')."
 883,"*p╞▒ri▒-", 120,"to use, employ","использовать, употреблять","puri-","p╞▒ri▒-","Nam 270, KED 814."
 884,"*pora",1670,"snow-storm","снежная буря","nun-pora, nun-pore","","KED 362."
 885,"*kёm(p)-", 552,"larva of a beetle","личинка жука","kumpe╤i","kёmpЇ█╤, kёmpЇ█╤'i█","Nam 63, KED 220."
 886,"*tira ( ┌ ╢-)",2285,"spleen","селезенка","╢ira, ╢ir▓","","KED 1529."
 887,"*ta▒i", 375,"bamboo","бамбук","\It▓\i","ta▒i","Liu 204, KED 418."
 888,"*k░▀m- / *ka▀▒m-",1163,"to bathe, wash","купать, мыть","k░m-","ka▀▒m-","Nam 23, KED 50."
 889,"*kЇ█ju▒, kЇ█iju▒", 906,"domestic goose","домашний гусь","kЇwi","kЇ█ju▒, kЇ█iju▒","Nam 35, KED 87."
 890,"*ku█s╞█-", 934,"odorous","пахучий","kusu-ha-","ku█s╞█-","Nam 60, KED 204."
 891,"*n╞p(h)",1192,"swamp, marsh","болото","n╞p [n╞ph]","","KED 376."
 892,"*mjЇ█n╞▒ri▒",1240,"daughter-in-law","невестка, сноха","mjЇn╞ri","mjЇ█n╞▒ri▒, mjЇna▀ri","Nam 213, KED 619."
 893,"*mi▒rh",1328,"wheat","пшеница","\Imil\i","mi▒r (mi▒rh-)","Nam 234, KED 696."
 894,"*ka█ra█p",1113,"oak-tree","дуб","karam-namu","ka█ra█p","Nam 3, Liu 19."
 895,"*su▒r",1959,"spoon","ложка","sul (dial.)","su▒r","Nam 315, KED 1018."
 896,"*ta█h-",2712,"to touch, reach to","трогать, достигать","t░- [tah-], t┤-","ta█h-, ta█hi-","Liu 197, 204, KED 418, 422."
 897,"*ta█ra▀█-",2205,"other","другой","tar╞-","ta█ra▀█-","Nam 129, KED 382."
 898,"*ps╞▒-", 644,"to put on (hat)","надевать (шапку)","s:╞-","ps╞-, s╞▒-","Nam 317, 319, KED 1023."
 899,"*ki█ri▒-", 856,"to praise","восхвалять","kiri-","ki█ri▒-","Nam 78, KED 265."
 900,"*jЇsk-",   0,"to plait, weave","ткать, плести","jЇk- [jЇk:-]","","Liu 568, KED 1169."
 901,"*pjЇ╤-",1776,"chicken","цыпленок","pjЇ╤ari","pjЇ╤'ari, pi▒ju█k","Liu 384, 413, KED 785."
 902,"*po▒ra▒m",1831,"sign","знак","poram","po▒ra▒m","Liu 386, KED 789."
 903,"*Ї█n▒i▒", 432,"mother","мать","Їi","Ї█n▒i▒","Nam 363, KED 1134."
 904,"*╢ha▀▒-", 275,"to wear on the belt","носить на поясе","╢ha-","╢ha▀▒-","Nam 447, KED 1562."
 905,"*╢ok", 335,"women's hairdo","женская прическа, узел","╢:ok","╢ok","Nam 430, KED 1477."
 906,"*ko▒╢a▀▒k", 940,"1 extreme, very powerful 2 at most","1 чрезвычайный, очень сильный 2 самое большее","ko√ak 2","ko▒╢a▀▒k-ha▀- 1","Nam 48, KED 148."
 907,"*to█irjo█╤",2203,"lizard","ящерица","toro╤-njo╤","to█irjo█╤","Nam 162, KED 464."
 908,"*o'a▀i-",1562,"to recite","декламировать","w╣-, weu-","o'a▀i- 'sailors' song'","Liu 577, KED 1221, 1223."
 909,"*nu█ri▒-",1501,"to have a burnt, rank smell","пахнуть горелым","nuri-, nori-","nu█ri▒-","Liu 162, KED 342, 357 ('to be rank, foul-smelling')."
 910,"*╢a▀r╞-", 274,"to cut off, chop off","отрезать, отрубать","╢ar╞-","╢a▀r╞-","Nam 413, KED 1376."
 911,"*pЇ█m╞▒r-",1849,"1 to bind, tie up 2 to mix","1 связывать 2 смешивать","pЇmul- 2","pЇ█m╞▒r- 1","Nam 254, KED 760."
 912,"*parko",1713,"a k. of horse-drawn sleigh","вид саней, запрягаемых лошадьми","palgu","parko","Nam 245, KED 724."
 913,"*k╞▒ri█-", 554,"to long for, miss, think of","стремиться к, думать о ком-л.","k╞ri-","k╞▒ri█-","Nam 68, KED 237."
 914,"*ni'jaki",1213,"tale, story","рассказ","ijagi","ni'jaki","Nam 123, KED 1333."
 915,"*pat╞k / *pot╞k",1652,"persistently, obstinately","упрямо, настойчиво","pad╞k-pad╞k, pod╞k-pod╞k","","KED 704."
 916,"*sak-",2130,"dry branch","сухая ветвь","sak╢Ї╤","","KED 889 (sak╢Ї╤i)."
 917,"*jЇ▒s",   0,"candy","конфета, тянучка","jЇt","jЇ▒s",""
 918,"*ku█r'Ї▒i", 698,"bridle","уздечка","kulle","ku█r'Ї▒i","Nam 62, KED 217."
 919,"*tu╤-",2462,"base of tree trunk","основание ствола","tu╤╢hi, (SKE) tu╤khЇgi","","KED 511."
 920,"*░m",  36,"surely, certainly","точно, конечно","░m","","KED 1093."
 921,"*u█m╞█i-", 661,"to pucker, close up, shut up","делать складку, затягивать, закрывать","umurЇ-√i-, omurЇ-√i-","u█m╞█i-jЇ▒-t╞█r-","Nam 390, KED 1239."
 922,"*a█n▒i▒",  37,"beginning, first, preliminary","сначала, прежде всего, начерно","▓-bЇl","a█n▒i▒","Nam 339, KED 1102."
 923,"*parh-",1727,"to be lean, emaciated","быть тощим, истощенным","phari-ha-","","KED 1730."
 924,"*ta╤h / *tЇ╤h",2388,"hollow, empty","полый, пустой","tha╤, thЇ╤","","KED 1694, 1704."
 925,"*ma█k-",1272,"to stop up, block, prevent","препятствовать","mak-","ma█k-","Nam 198, KED 569."
 926,"*put╞'i╢-", 216,"to hit, bump, collide","бить, сталкиваться","pudit- [puti╢-]","put╞'i╢-","Nam 265, KED 812."
 927,"*nupi-",1220,"to quilt","стегать","nubi-","nupi-","Liu 162, KED 358."
 928,"*pok", 117,"swellfish, blowfish","бычок (рыба)","pok","pok","Liu 388, KED 795."
 929,"*kjЇ[b]- / *kib-",1065,"1 rice husks 2 bran","1 рисовая шелуха 2 отруби","kjЇ 1, kiul 2","kjЇ▒ 1, ki█'u▒r 2","Liu 53, 114, KED 111, 272."
 930,"*tori-",   0,"flail","цеп, молотилка","torik:▓","to█ri█-╢ha▒i, tori-kai","Nam 157, KED 465."
 931,"*ko█ba▀▒r", 692,"district","провинция, район","ko╞l","ko█'a▀▒r","Liu 65, KED 148."
 932,"*tїrЇ█b-",2340,"to be dirty","быть грязным","tїrЇp- (-w-)","tїrЇ█p- (-w-)","Nam 149, KED 442."
 933,"*po█ri█",1829,"barley","ячмень","pori","po█ri█","Nam 260, KED 790."
 934,"*kЇi'Їm", 474,"envy, covetousness","зависть","kejЇm","kЇi'Їm","Liu 52, KED 109."
 935,"*pЇ█╤-",1745,"1 to open up, spread open (slightly) 2 to smile, grin, chuckle","1 раскрываться, приоткрываться 2 улыбаться, смеяться, хохотать","pa╤g╞-, pЇ╤g╞-, pa╤g╞t [pa╤k╞s] ha-, pЇ╤g╞t [pЇ╤k╞s] ha- 1, 2","pЇ█╤'╞▒-, pЇ█╤k╞▒r- 1","Liu 381, KED 736, 772."
 936,"*pjЇ█ro▒", 164,"inkstone (for rubbing the ink from an ink stick)","чернильный камень","pjЇru","pjЇ█ro▒","Nam 258, KED 775."
 937,"*sok-kori",2128,"a k. of basket","вид корзины","sokhuri","sok-kori (kori 'basket')","Liu 464, KED 978."
 938,"*sёi-",2102,"to breathe; to rest","дышать; отдыхать","sw┼-","sёi-","Nam 316, KED 1022."
 939,"*pa█i",1774,"dawn","рассвет","","sa█i-pa█i (s░i- 'to dawn')","HMCH 152, Nam 295 (gives sa█i-pa▒i, although HMCH has explicitly sa█i-pa█i). Modern s▓-bjЇk (KED 922) 'dawn' is probably related, with a secondary suffixation."
 940,"*░-mo█", 406,"someone, some","кто-то, некоторый","░mu","░mo█ (cf. also Ї█n╞▒ 'some, someone', a█ra▀▒m 'oneself')","Nam 337, KED 1072."
 941,"*m┼r-",1312,"tide","разлив, прилив","m┼lmul","m┼r-m╞▒r (m╞▒r 'water')","Nam 234, KED 697."
 942,"*parmak (┌ -a▀-)", 133,"a k. of footwear","вид обуви","palmak","","KED 727."
 943,"*kob░r-",1050,"be high, strong (of fire)","быть сильным, горячим (об огне)","kw░l-","","KED 183."
 944,"*pt╞▒-",2373,"to be separated, have an interval","быть отделенным, иметь промежуток","t:╞-","pt╞▒-","Nam 173, KED 523."
 945,"*t░-", 635,"give (me)","дай (мне)","t░-go, t░-o","t░-ko█","Liu 190, 191, KED 378."
 946,"*mut",1357,"dry land","суша","mut [muth]","mut","Nam 223, KED 685."
 947,"*pi█n╞▒r",1641,"(fish) scales","(рыбья) чешуя","pin╞l","pi█n╞▒r","Nam 276, KED 850."
 948,"*mЇ╤",1284,"scar, bruise","шрам, синяк","mЇ╤","","KED 615."
 949,"*ps-ki█'u▒-",1642,"1 to insert into a rim 2 to butt, stick in","1 вставлять в оправу 2 вставлять, вкалывать","k:iu- 1, ╢:ir╞- 2","ps-ki█'u▒- 1, ps-ti█r╞█- 2","Nam 80, 181, KED 271, 1530."
 950,"*ta▀▒r-",2386,"to hang, fasten","вешать, прикреплять","tal-","ta▀▒r-","Nam 140, KED 403."
 951,"*t╞█ri▒-",2406,"to hang","висеть, вешать","t╞riu-","t╞█ri▒-","Nam 171, KED 526."
 952,"*piro", 134,"dandruff, mange","перхоть, чесотка","piru","piro","Nam 276, KED 852."
 953,"*pi█rЇ▒", 149,"bank, precipice","берег, обрыв","","pi█rЇ▒","Nam 276."
 954,"*Ї▒ti█r-",2537,"to be able, wise","быть способным, мудрым","Ї√il-","Ї▒ti█r-","Nam 359, KED 1136."
 955,"*pa▒ta▀▒ri▒",1626,"a k. of bee","вид пчелы","p░dЇri","pa▒ta▀▒ri▒","Nam 237, KED 704."
 956,"*Ї█ri▒-", 630,"young","молодой, юный","Їri-","Ї█ri▒-","Liu 545, KED 1128."
 957,"*sp-",1921,"1 to wet, soak 2 to wash 3 to scatter, sow","1 мокнуть 2 мыть 3 разбрасывать, сеять","p:uri- 1,3, \Ip:al-\i 2","sp╞█ri▒- 1, spa▀▒r- 2, spi█h- 3","HMCH 312, Nam 247, 272, 279, 280,  KED 725, 814."
 958,"*ka▀█r-kЇ█m╞▒i",1047,"a k. of spider","вид паука","kalgЇmi","ka▀█r-kЇ█m╞▒i","Nam 20, KED 43."
 959,"*to█r- / *tu█r-",2260,"1 revolve 2 surround","1 вращаться 2 окружать","tol- 1,  tur╞- 2","to█ra▒-ka- 'return', to█ra▒-po█- 'look back', t╥r- 1, tu█r╞█- 2","Liu 223, 229, 239, KED 479, 504."
 960,"*ko█p-",1123,"to double, increase twofold","удваивать, увеличивать(ся) вдвое","kop-ha-","ko█p-","Nam 52, KED 164."
 961,"*╢o█p-", 299,"narrow","узкий","╢op-","╢o█p-","Liu 665, KED 1482."
 962,"*sa▀▒╢h",2027,"cord","веревка, шнурок","s▓k:i","sa▀▒╢h","Nam 294, KED 920."
 963,"*╢a▀█╢-",2610,"be frequent, constant","быть частым, постоянным","╢a╢-","╢a▀█╢-","Nam 418, KED 1408."
 964,"*ko█t-", 562,"straight, vertical","прямой, вертикальный","kot-","ko█t-","Nam 50, KED 156."
 965,"*ka▀█n▒a▀█m",2743,"material, cloth","материал, ткань","k░m","ka▀█n▒a▀█m","Nam 13, KED 49."
 966,"*u█h╞▒i-",2501,"to take, grasp, pick out","брать, хватать, вытаскивать","","u█h╞▒i-","Nam 391."
 967,"*pїm",1857,"tiger","тигр","pїm","pїm","Nam 256, KED 767."
 968,"*ka▀m-", 496,"to hide, conceal","прятать, скрывать","kam╢hu-","ka▀m-╢ho-","Nam 24, KED 55."
 969,"*no▒n",1489,"rice field","рисовое поле","non","no▒n","Liu 157, KED 346."
 970,"*kїmЇ█ri▒", 847,"leech","пиявка","kїmЇri","kїmЇ█ri▒","Liu 41, KED 84."
 971,"*ka█ja█mi▒", 700,"ant","муравей","k┤mi","ka█ja█mi▒, ka█ja█m╞▒i, ka█ja█ma▀▒i","Liu 22, KED 70."
 972,"*a█ha▀▒i",2490,"child","ребенок","\Iai\i","a█ha▀▒i","Nam 343, KED 1076."
 973,"*ko█ra▀█-", 837,"to be equal, similar","быть равным, похожим","kor╞-","ko█ra▀█-","Nam 46, KED 140."
 974,"*mi█th",1324,"bottom, foundation","дно, основание","mit [mith]","mi█t, mi█th","Nam 234, 235, KED 699."
 975,"*mїbi- / *m╞█bi-",1354,"1 to be naked 2 to be bald","1 быть голым 2 быть лысым","mui- 2, m▓-n, mi-n 'pure, bare'","m╞█i- 2, mїi-wa█s- 1 (pa█s- 'to take off clothes')","Nam 212, 232, KED 603, 664, 693."
 976,"*a█╢a▀-",  55,"1 aunt 2 uncle","1 тетя 2 дядя","a√▓ 1, 2, a√umЇni 1, a√▓bi 2","a█╢a▀▒mi█ 1, a█╢a█pi▒ 2","Nam 341, KED 1076, 1077."
 977,"*s░m",1963,"1 spot (in the eye) 2 wart, mole","1 пятно (в глазу) 2 бородавка, родинка","sam 1, s░magwi 2","s░ma▒ko▒i 2","Liu 433, KED 873, 901."
 978,"*noko╢iri",1394,"field lark","полевой жаворонок","nogo√iri (arch.)","noko╢iri","Nam 110, KED 338."
 979,"*no█-na▀▒-",1211,"light yellow","светло-желтый","","no█na▀▒-","Nam 110."
 980,"*suk-",2030,"to droop","свисать","suk-","suk-","Liu 476, KED 1013."
 981,"*ta█ta▀█d-",2745,"to arrive, reach, attain","достигать","tatar╞-","ta█ta▀█t- (ta█ta▀█r-)","Nam 128, KED 380."
 982,"*╢jo▒ka▒i", 328,"cheek","щека","","po▒-╢jo▒ka▒i (a compound with po▒- 'cheek')","HMCH 199, Nam 261."
 983,"*╢a▀kami", 345,"chin of helmet","подбородок шлема","╢ag▓mi","╢a▀kami","Nam 412, Liu 631."
 984,"*ki█bu▒r-", 750,"to bow down, be sloping, decline","наклоняться","kiul-","ki█'u▒r-","Nam 79, KED 272."
 985,"*mo█k",1242,"neck","шея","mok","mo█k, mo█ka█i","HMCH 199, Nam 214, KED 636."
 986,"*pu█╢hЇ▒i",1841,"fan","веер","pu╢h▓","pu█╢hЇ▒i","Nam 266, KED 821."
 987,"*kjЇ▒╢h", 824,"side","сторона","kjЇt [kjЇth]","kjЇ▒╢h","Nam 44, KED 128."
 988,"*p░r",1725,"armful","охапка","p░l","p░r","Nam 245, KED 723."
 989,"*o█ra▀▒-",1607,"to rise","подниматься","or╞-","o█ra▀▒-, o█r-","Nam 380, KED 1199."
 990,"*na▒╢",1417,"day, day-time","день, дневное время","nat [na╢]","na▒╢","Nam 101, KED 312."
 991,"*ki▒n▒-", 765,"nest","гнездо","\Ikit\i (kis)","ki▒s 'nest', ki▒n▒- 'to nest'","Nam 83, KED 282."
 992,"*turЇi",2263,"bucket, scoop","ведро, черпак","ture","","KED 503."
 993,"*t░ja▒",2289,"wash-tub","корыто","t┤ja","ta█ja▒","Nam 132, KED 430."
 994,"*p╞█sk╞▒ri█-",1733,"to be ashamed","стыдиться","puk:╞ri-","p╞█sk╞▒ri█-","Nam 274, KED 810."
 995,"*sjo▒",2536,"cow","корова","\Iso\i","sjo▒","Nam 311, KED 968."
 996,"*n┼n▒-",1529,"to combine, continue","соединять, продолжать","┼t- \I[is-]\i","n┼n▒-","Nam 127, KED 1369."
 997,"*ha█-",   7,"yawn","зевок","haphum","ha-ph╞i'om, ha█'o▒ijo█m, hahoi'om","Nam 469, KED 1788."
 998,"*no█'╞█r",1230,"morning or evening dawn, red glow in the sky","утренняя или вечерняя заря","n╥l","no█'╞█r","Nam 111, KED 347."
 999,"*mah",1367,"1 rain, rainy season 2 southern wind","1 дождь, дождливый сезон 2 южный ветер","╢a╤-ma 1, \Ima,\i ma-pharam 2","\Ima\i (mah-) 1, 2","Nam 191, KED 558, 568, 1404."
1000,"*ko▒j╥m", 794,"a k. of jujube, lotus persimmon","вид ююбы, лотосовая хурма","kojom","ko▒j╥m","HMCH 173, Liu 66, KED 147."
1001,"*pa▀█i-", 179,"to be pregnant","быть беременной","p┤-","pa▀█i-","Nam 251, KED 745."
1002,"*sok-", 318,"horse-tail","хвощ","soks▓","soksai, soksa▀i","Liu 464, KED 983."
1003,"*ku█n▒i▒",1159,"manger, trough","корыто","kuju","ku█n▒i▒, ku█n▒ju▒","Nam 60, KED 206."
1004,"*maru",1247,"floor","пол","maru","maru, maro","Liu 298, KED 561."
1005,"*skuЇ█╤",2087,"pheasant","фазан","k:wЇ╤","skuЇ█╤","Nam 64, KED 225."
1006,"*jЇ█bu▒i-",2642,"to get emaciated, haggard","истощаться, становиться изможденным","jЇwi-","jЇ█'u▒i-, jЇ█'o▒i-","Liu 563, KED 1165."
1007,"*a█n▒a▀█", 685,"younger brother or sister","младший брат или сестра","au","a█n▒a▀█","Nam 338, KED 1075."
1008,"*so█ra▀▒i",2081,"voice, sound","голос, звук","sori","so█ra▀▒i","Nam 307, KED 972."
