"NUMBER","CHARREF","CHARACTER","MCINFO","ZIHUI","BEIJING","JINAN","XIAN","TAIYUAN","HANKOU","CHENGDU","YANGZHOU","SUZHOU","WENZHOU","CHANGSHA","SHUANGFENG","NANCHANG","MEIXIAN","GUANGZHOU","XIAMEN","CHAOZHOU","FUZHOU","SHANGHAI","ZHONGYUAN"
 615, 985,"沫","山合一入末明","3106 0242","mo 3","mə 3","mo 11","məʔ 41","mo 12","mo 12","mɔʔ 4","môʔ 42","mö 42","mo 4","miɛ 31","mɔt 41","mat 42","mut 43","buat 42 (lit.); pheʔ 42","muek 42","muaʔ 42","môʔ 42","mo 43"
 616, 986,"法","咸合三入乏非","3127 0028","fa 2","fa 2","fa 11","faʔ 41","fa 12","fa 12","faʔ 4","faʔ 41","xo 41","fa 4","xua 12","фuat 41","fap 41","fāt 43","huat 41","huap 41","xuaʔ 41","faʔ 4","fa 22"
 617, 989,"泄","山開三入薛心","3118 0373","śie 3","śie 3","śie 11","śiəʔ 41","śie 3","śie 12","śiəʔ 4","siôʔ 41","sei 41 (lit.); sei 31","sie 4","śiɛ 12","śiɛt 41","siɛt 41","šit 43","siat 41","siʔ 41","sieʔ 41","sîʔ 4","sie 42"
 618, 990,"油","流開三平尤以","3111 1616","iou 12","iou 12","iou 12","iou 1","iou 12","iəu 12","iôɨ 12","iöy 12","ɦiau 12","iôu 12","iû 12","iu 31","jiu 12","jau 12","iu 12","iu 12","ieu 12","",""
 619, 991,"況","宕合三去漾曉","0400 2389","khuaŋ 3","khuaŋ 3","khuaŋ 3","khuã̲ 3","khuaŋ 3","khuaŋ 3","kuâŋ 3","hua̲ŋ 31","śyɔ 31","khuan 31","kaŋ 31","khuɔŋ 31","khɔŋ 2","fɔŋ 31","hɔŋ 31","khuaŋ 31","xuɔŋ 31","khuã̲ 3","xuaŋ 3"
 620, 997,"治","止開三去志澄","3112 0469","c̣î̲ 3","c̣î̲ 3","c̣î̲ 3","ci̲ 3","ci̲ 3","ci̲ 3","ci̲ 3","zü 32","ʒi̲ 32","c̣î̲ 31","ʒ̣î̲ 32","chi̲ 32","chi̲ 3","či 32","ti 32 (lit.)","ti 32","tei 32","zi̲ 32","či 3"
 621, 998,"泡","效開二去效滂","3133 1288","phau 3","phɔ 3","phau 3","phau 3","phau 3","phau 3","phɔ 3","phä 31","phuɔ 31","phau 31","phə 31","phau 2","phau 3","phau 31","phau 31","phau 31","phau 31","",""
 622,1005,"炕","宕開一去宕溪","3510 2312","khaŋ 3","khaŋ 3","khaŋ 3","khã̲ 3","khaŋ 3","khaŋ 3","khâŋ 3","kha̲ŋ 31","khuɔ 31","khan 31","khaŋ 31","kɔŋ 2","khɔŋ 3","khɔŋ 31","khɔŋ XH (lit.); khaŋ 31","khaŋ 31","khauŋ 31","khã̲ 1","khaŋ 3"
 623,1007,"炒","效開二上巧初","3509 1368","c̣hau 2","c̣hɔ 2","chau 2","chau 2","chau 2","chau 2","chɔ 2","chä 2","chɔ 21","chau 2","chə 2","chau 2","chau 2","čhāu 21","chau 2  (lit.); cha 2","cha 21","chau 2","chɔ 3","čhau 2"
 624,1008,"炊","止合三平支昌","3507 1204","c̣huei 11","c̣huei 11","pfhei 11","chuei 1","chuei 11","chuei 11","chuəi 11","che̲ 11","chi̲ 11","ćhyei 11","thy 11","chui 11","chɔi 11","čhö̲y 11","chui 11","chue 11","chuei 11","chö 1","čhuei 1"
 625,1010,"爬","假開二平麻並","3632 0018","pha 12","pha 12","pha 12","pha 1","pha 12","pha 12; pa 11","phai 12","bo 12","bo 12","pa 12","bo 12","pha 12","pha 12","pha 12","pa 12 (lit.); pe 12","pe 12","pa 12","po 32","pha 12"
 626,1011,"爭","梗開二平耕莊","3630 2457","c̣əŋ 11","c̣əŋ 11","c̣əŋ 11","c̣əŋ 1","cən 11","cən 11","cən 11","cən 11 (lit.); caŋ 11","ciɛ 11","cən 11","ćiɛ̃ 11 (lit.); cõ 11","cɛn 11","cɛn 11","čāŋ XH","cîŋ 11 (lit.); cĩ 11; cĩ 31; ciã 32","cẽ 11","ceiŋ 11 (lit.); caŋ 11","cəŋ 1","čəŋ 1"
 627,1012,"爸","假開二去禡幫","3640 0016","pa 3","pa 3","pa 3","pa 3","pa 12","pa 12","pai 3","pa̲ 11","pa 11","pa 4","po 11","pak 41","pa 11","pa 11","pa 32","pa 11","pa 11","pa 1",""
 628,1013,"版","山開二上潸幫","3652 1629","pan 2","pã 2","pa 2","pä̃ 2","pan 2","pan 2","pɛ̃ 2","pe̲ 2","pa 21","pan 2","pã 2","pan 2","pan 2","pān 21","pan 2","paŋ 21","peiŋ 2","",""
 629,1014,"牧","通合三入屋明","3668 0762","mu 3","mu 3","mu 3","məʔ 41","moŋ 3","mu 12","mɔʔ 4","moʔ 42","mo 42","mo 4","mû 12","muk 41","muk 42","muk 42","bɔk 42","mok 42","muʔ 42","moʔ 42","mu 43"
 630,1015,"物","臻合三入物微","3670 0949","u 3","u 3","vo 11","vəʔ 41","u 12","vu 12","uəʔ 4","vôʔ 42 (lit.); môʔ 41","vai 42","u 4","əu 31","ut 41","vut 42","mat 42","but 42 (lit.); biʔ 42; mizʔ 42","mueʔ 42","uʔ 42","vôʔ 42",""
 631,1016,"狀","宕開三去漾崇","3692 2372","c̣uaŋ 3","c̣uaŋ 3","pfaŋ 3","cuã̲ 3","cuaŋ 3","cuâŋ 3","cuaŋ 3","za̲ŋ 32","ʒ́yɔ 32","ćyan 31 (lit.); ćyan 32","ʒaŋ 32","chɔŋ 32","chɔŋ 3","čɔŋ 32","cɔŋ 32 (lit.); cŋ 32","cuaŋ 22","cauŋ 32","zã̲ 32","čuaŋ 3"
 632,1019,"狗","流開一上厚見","3699 1555","kou 2","kou 2","kou 2","kou 2","kou 2","kəu 2","kôɨ 2","köy 2","kau 21","kôu 2","kie 2","kiɛu 2","kɛu 2","kau 21","kɔ 2","kau 21","keu 2","kôɨ 3","kou 2"
 633,1020,"狐","遇合一平模匣","3698 0926","xu 12","xu 12","xu 12","xu 1","xu 12","fu 12","xu 12","ɦəu 12","vu 12","fu 12","ɣəu 12","фu 31","fu 12","uu 12","hɔ 12","hu 12","xu 12","ɦu 32","xu 12"
 634,1021,"玩","山合二平刪疑","3779 1981","uan 12","uã 12","vã 12","vä̃ 1","uan 12","uan 12","uɛ̃ 12","ɦuö 12","va 12","õ 12","uã 12","uan 31","ŋuan 2","uān 12","guan 2  (lit.); uan 2","ŋueŋ 21","ŋuaŋ 32","uö 32","on 3"
 635,1027,"的","梗開四入錫端","4104 0568","ti 12","ti 2","ti 11","tiəʔ 41","ti 2","ti 12","tiəʔ 4","tiôʔ 41","tei 41","ti 2","ti 12","tit 41","tit 41","tîk 41","tîk 41","tik 41","teiʔ 41","tîʔ 4","ti 42"
 636,1028,"盂","遇合三平虞云","5130 1006","y 12","y 12","y 12","y 1","y 12","y 12","y 12","y 12","ɦu 12","y 12","y 12","y 31","ji 12","jy 12","u 12","hu 12","y 11","y 32","iu 12"
 637,1030,"直","曾開三入職澄","4160 0452","c̣î̲ 12","c̣î̲ 12","c̣î̲ 12","cəʔ 42","ci̲ 12","ci̲ 12","cəʔ 4","zôʔ 42","ʒei 42","c̣î̲ 4","ʒ̣î̲ 31","cət 41","chət 42","čîk 42","tit 42","tik 42","tiʔ 42","zaʔ 42","či 41"
 638,1031,"知","止開三平支知","4249 0438","c̣î̲ 11","c̣î̲ 11","c̣î̲ 11","ci̲ 1","ci̲ 11","ci̲ 11","ci̲ 11","cü 11","ci̲ 11","c̣î̲ 11","c̣î̲ 11","ci̲ 11","ti 11","či 11","ti 11 (lit.); cai 11","cai 11","ti 11","ci̲ 1","či 1"
 639,1033,"社","假開三上馬襌","4357 0173","ṣô 3","ṣə 3","sə 3","sə 3","sô 3","se 3","śô 3","zöy 32 (lit.); zo 32","zei 22","ṣô 31 (lit.); ṣô 32","ɣio 32","sa 32","sa 11","šɛ 22","sia 32","sia 22","sie 32","zo 32","šie 3"
 640,1034,"祀","止開三上止邪","4358 0435","si̲ 3","si̲ 3","si̲ 3","si̲ 3","si̲ 3","si̲ 3","si̲ 3","zi̲ 32","zi̲ 22","si̲ 31","ʒi̲ 32","si̲ 31","si̲ 3","ši 32","chai 32 (lit.); sai 32","si̲ 22","söy 32","zi̲ 32","si̲ 3"
 641,1036,"秉","梗開三上梗幫","4426 2511","piŋ 2","piŋ 2","piŋ 2","piŋ 2","pin 2","pin 2","pĩ 2","pin 2","peŋ 21","pin 2","pin 2","pin 2","piaŋ 2","pîŋ 21","pîŋ 2","peŋ 21","piŋ 2","piŋ 3","piəŋ 2"
 642,1037,"空","A: 通合三平東溪; B: 通合一去送溪","A: 4500 2695; B: 4500 2699","A: khuŋ 11; B: khuŋ 3","A: khuŋ 11; B: khuŋ 3","A: khoŋ 11; B: khoŋ 3","A: khuŋ 1; B: khuŋ 3","A: khuŋ 11; B: kuŋ 3","A: khoŋ 11; B: khoŋ 3","A: khɔuŋ 11; B: kɔuŋ 3","A: khoŋ 11; B: khoŋ 31","A: khoŋ 11; B: khoŋ 31","A: khoŋ 11; B: khoŋ 31","A: khaŋ 11; khən 11; B: khaŋ 31; kən 31","A: khuŋ 11; B: kuŋ 2","A: khuŋ 11; B: khuŋ 11","A: huŋ 11; B: huŋ 31","A: khɔŋ 11; B: khɔŋ 31","A: khoŋ 11; B: khoŋ 31","A: khuŋ 11 (lit.); köyŋ 11; B: khouŋ 31","A: khoŋ 1; B: khoŋ 1","A: khuŋ 1; B: khuŋ 3"
 643,1040,"糾","流開三上黝見","4763 1589","ćiou 11","ćiou 11","ćiou 11","ćiou 1","ćiou 11","ćiəu 11","ćiôɨ 11","ćiöy 11","ćiau 11","ćiôu 11","ćiû 11","ćiu 11","kiu 11","kau 21","kiu 2","kiu 21","kieu 2","ćiɨ 1","kiou 2"
 644,1044,"者","假開三上馬章","5074 0162","c̣ô 2","c̣ə 2","c̣ô 3","cə 2","cô 2","ce 2","cî 2","cöy 11 (lit.); ce̲ 11","ciɛ 21","c̣ô 2","ta 2","ca 2","ca 2","čɛ 21","cia 2","cia 21","cia 2","ce̲ 1","čie 2"
