"NUMBER","CHARREF","CHARACTER","MCINFO","ZIHUI","BEIJING","JINAN","XIAN","TAIYUAN","HANKOU","CHENGDU","YANGZHOU","SUZHOU","WENZHOU","CHANGSHA","SHUANGFENG","NANCHANG","MEIXIAN","GUANGZHOU","XIAMEN","CHAOZHOU","FUZHOU","SHANGHAI","ZHONGYUAN"
 600, 951,"果","果合一上果見","2654 0301","kuo 2","kuə 2","kuo 2","kuə 2","ko 2","ko 2","ko 2","kəu 2","ku 21","ko 2","kû 2","kuo 2","kɔ 2","kuɔ 21","ko 2","kue 21","kuɔ 2","ku 3","kuo 2"
 601, 955,"枝","止開三平支章","2655 0442","c̣î̲ 11","c̣î̲ 11","ci̲ 11","ci̲ 1","ci̲ 11","ci̲ 11","ci̲ 11","cü 11","ci̲ 11","c̣î̲ 11","c̣î̲ 11","ci̲ 11","ci̲ 11","či 11","ci 11","ki 11","cie 11","ci̲ 1","či̲ 1"
 602, 956,"林","深開三平侵來","2651 2106","lin 12","liẽ 12","liẽ 12","liŋ 1","nin 12","nin 12","lĩ 12","lin 12","leŋ 12","nin 12","nin 12","lin 31","lim 12","lam 12","lim 12","lim 12","liŋ 12","liŋ 32","liəm 12"
 603, 957,"杯","蟹合一平灰幫","2637 1132","pei 11","pei 11","pei 11","pei 1","pei 11","pei 11","pəi 11","pe̲ 11","pai 11","pei 11","pie 11","pəi 11","pi 11","pui 11","pue 11","pue 11","puei 11","pe̲ 1","pei 1"
 604, 958,"板","山開二上潸幫","2647 1629","pan 2","pã 2","pa 2","pä̃ 2","pan 2","pan 2","pɛ̃ 2","pe̲ 2","pa 21","pan 2","pã 2","pan 2","pan 2","pān 21","pan 2","paŋ 21","peiŋ 2","pe̲ 3","pan 2"
 605, 960,"松","通合三平鍾邪","2646 2655","suŋ 11","suŋ 11","soŋ 11","suŋ 1","soŋ 11","soŋ 11","sɔuŋ 11","soŋ 11","soŋ 11","soŋ 11","saŋ 11; sən 11","suŋ 11","chiuŋ 12","čhuŋ 12","siɔŋ 11","soŋ 12","syŋ 12","soŋ 1","siuŋ 1"
 606, 961,"析","梗開四入錫心","2649 0695","śi 11","śi 11","śi 11","śiəʔ 41","śi 12","śi 12","śiəʔ 4","siôʔ 41","sei 41","si 4","śi 12","śit 41","sit 41","šîk 41","sîk 41","sek 41","seiʔ 41","sîʔ 4",""
 607, 963,"枚","蟹合一平灰明","2653 1151","mei 12","mei 12","mei 12","mei 1","mei 12","mei 12","məi 12","me̲ 12","mai 12","mei 12","mie 12","məi 31","mɔi 12","mui 12","muĩ 12 (lit.); bue 12","bue 12","muei 12","me̲ 32","mei 12"
 608, 968,"欣","臻開三平欣曉","2946 2137","śin 11","śiẽ 11","śiẽ 11","śiŋ 1","śin 11","śin 11","śĩ 11","śin 11","śiaŋ 11","śin 11","śin 11","śin 11","hiun 11","jan 11","him 11","hɨŋ 11","xyŋ 11","śiŋ 1","xiən 1"
 609, 969,"武","遇合三上噳微","2976 0943","u 2","u 2","vu 2","vu 2","u 2","vu 2","u 2","vu 12","vu 22","u 2","əu 2","u 2","vu 2","mou 22","bu 2","bu 21","u 2","",""
 610, 975,"注","遇合三去遇章","3137 0863","c̣u 3","c̣u 3","pfu 3","cu 3","ćy 3","cu 3","cu 3","cü 31","ci̲ 31","ćy 31","ty 31","ćy 31","cu 3","čy 31","cu 31 (lit.); tu 31","cu 31","cy 31","cü 3","čiu 3"
 611, 979,"泥","蟹開四平齊泥","3136 0592","ni 12","ńi 12","ńi 12","ni 1","ni 12","ńi 12","ni 12","ńi 12","ńi 12","ńi 12","ńi 12","ńi 31","nai 12","nai 12","nĩ 12 (lit.); nĩ 31","ni 12","nɛ 12 (lit.); na 12","ńi 32","ni 12"
 612, 980,"河","果開一平歌匣","3109 0202","xô 12","xə 12","xuo 12","xə 1","xo 12","xo 12","xo 12","ɦəu 12","vu 12","xo 12","ɣû 12","ho 12","hɔ 12","hɔ 12","ho 12","ho 12","ɔ 12","ɦu 32","xo 12"
 613, 982,"沾","咸開三平鹽知","3115 1707","c̣an 11","c̣ã 11","c̣ã 11","cä̃ 1","can 11","can 11","ćî̃ 11","cö 11","ći 11","c̣ôn 11","ćî̃ 11","cɛn 11","ńiam 12","čim 11","tiam 11","ciəm 11","cieŋ 11","ce̲ 1","čiem 1"
 614, 984,"波","果合一平戈幫","3134 0216","po 11","pə 11","po 11","pə 1","po 11","po 11","po 11","pu 11","pu 11","po 11","pû 11","po 11","pɔ 11","pɔ 11","pho 11","po 11","phɔ 11","pu 1","puo 1"
